date ,session,time,pair,rr,result,direction,profit,loss,liquidity,screenshot,swp_bfr_ott,year,month
04.01.2021,NY am,10:40:00,NAS100,"1,54",TP,short,308,,during OTT,https://glaze-deer-019.notion.site/04-01-2021-1085d9169040800980e8d81c94068805?pvs=4,,2021,1
06.01.2021,London,03:05:00,NAS100,,SL,long,,200,during OTT,https://glaze-deer-019.notion.site/06-01-2021-40d90bb9f4d94f2cbcaed31a1035c48b?pvs=4,,2021,1
12.01.2021,NY am,10:31:00,SP500,,BE,short,,,before OTT,https://glaze-deer-019.notion.site/12-01-2021-1776b9389ea449cebde4a010eb49d648?pvs=4,,2021,1
13.01.2021,London,03:11:00,NAS100,"1,6",TP,short,320,,before OTT,https://glaze-deer-019.notion.site/13-01-2021-1eaf4e7fa93742ad9458b742030295dc?pvs=4,,2021,1
14.01.2021,NY am,10:10:00,SP500,,SL,short,,200,before OTT,https://glaze-deer-019.notion.site/14-01-2021-5a3763e56d35438d975cb66ef57ee5a3?pvs=4,,2021,1
15.01.2021,London,03:37:00,NAS100,"1,9",TP,long,380,,during OTT,https://glaze-deer-019.notion.site/15-01-2021-1115d9169040805c8e18f9829a4ae932?pvs=4,,2021,1
19.01.2021,NY am,10:06:00,SP500,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/19-01-2021-91f4c18f0f03495cbc590fc2d9433694?pvs=4,,2021,1
19.01.2021,NY am,10:10:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/19-01-2021-0c1501f7e18046ff87eadd444747255f?pvs=4,,2021,1
22.01.2021,NY am,10:59:00,NAS100,,BE,short,,,before OTT,https://glaze-deer-019.notion.site/22-01-2021-917e96da63e94091903d68e59402db93?pvs=4,,2021,1
22.01.2021,NY am,10:16:00,SP500,"2,7",TP,short,530,,during OTT,https://glaze-deer-019.notion.site/22-01-2021-10a5d916904080088f92d3c44dee5746?pvs=4,,2021,1
25.01.2021,NY am,10:00:00,SP500,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/25-01-2021-10a5d916904080008023cbe2c7991761?pvs=4,yes,2021,1
25.01.2021,London,03:29:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/25-01-2021-1115d91690408066b19af3d64d744528?pvs=4,,2021,1
26.01.2021,NY am,10:22:00,NAS100,,SL,short,,200,during OTT,https://glaze-deer-019.notion.site/26-01-2021-df45644a54aa4fafb951775f0d25dd89?pvs=4,,2021,1
29.01.2021,NY am,10:33:00,SP500,"1,6",TP,short,320,,during OTT,https://glaze-deer-019.notion.site/29-01-2021-047a62944c654134a693af91caf8af50?pvs=4,,2021,1
03.02.2021,NY am,10:50:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/03-02-2021-1085d916904080769c35ed1f7e222593?pvs=4,,2021,2
03.02.2021,NY am,10:53:00,SP500,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/03-02-2021-10a5d91690408072a70de2b414316dd1?pvs=4,,2021,2
09.02.2021,NY am,10:47:00,SP500,"1,6",TP,short,320,,during OTT,https://glaze-deer-019.notion.site/09-02-2021-10a5d9169040805f97e6e58ec668f048?pvs=4,,2021,2
16.02.2021,London,03:16:00,NAS100,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/16-02-2021-1115d916904080d3a9d3f1fb4af06260?pvs=4,,2021,2
17.02.2021,London,03:15:00,NAS100,"1,6",TP,long,320,,during OTT,https://glaze-deer-019.notion.site/17-02-2021-1115d9169040804b9bd6c3b54f2baf13?pvs=4,,2021,2
01.03.2021,London,03:39:00,NAS100,,SL,long,,200,during OTT,https://glaze-deer-019.notion.site/01-03-2021-1115d916904080eabe14c4eec6f27bf4?pvs=4,,2021,3
02.03.2021,NY am,10:15:00,NAS100,"1,6",TP,short,320,,before OTT,https://glaze-deer-019.notion.site/02-03-2021-53ad931c4bae480db359a5778ea8879d?pvs=4,,2021,3
04.03.2021,NY am,10:25:00,NAS100,"1,6",TP,long,320,,during OTT,https://glaze-deer-019.notion.site/04-03-2021-1085d9169040801bafc7ee3aca9216a5?pvs=4,,2021,3
04.03.2021,NY am,10:25:00,SP500,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/04-03-2021-10a5d916904080058ffbc5a5ea71b244?pvs=4,,2021,3
12.03.2021,NY am,10:01:00,SP500,,SL,short,,200,before OTT,https://glaze-deer-019.notion.site/12-03-2021-1b84079d706849fdb29579f7f4e9b9b1?pvs=4,yes,2021,3
12.03.2021,NY am,10:13:00,NAS100,"1,6",TP,short,318,,before OTT,https://glaze-deer-019.notion.site/12-03-2021-1085d916904080ed8440fc06f3795d49?pvs=4,,2021,3
15.03.2021,NY am,10:15:00,SP500,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/15-03-2021-10a5d91690408035ad04c23ed99d15e2?pvs=4,,2021,3
15.03.2021,NY am,10:42:00,NAS100,,SL,short,,200,during OTT,https://glaze-deer-019.notion.site/15-03-2021-1085d9169040804aad0cd86935ad14e4?pvs=4,,2021,3
17.03.2021,NY am,10:35:00,SP500,"1,6",TP,short,320,,before OTT,https://glaze-deer-019.notion.site/17-03-2021-10a5d916904080599da9c6669fec42da?pvs=4,,2021,3
26.03.2021,NY am,10:27:00,NAS100,"1,6",TP,long,319,,before OTT,https://glaze-deer-019.notion.site/26-03-2021-1085d916904080c9b49fc9cb3289603f?pvs=4,,2021,3
05.04.2021,London,03:06:00,NAS100,2,TP,short,400,,before OTT,https://glaze-deer-019.notion.site/05-04-2021-1115d916904080efac64f23d151f791f?pvs=4,yes,2021,4
06.04.2021,NY am,10:14:00,NAS100,,BE,short,,,before OTT,https://glaze-deer-019.notion.site/06-04-2021-1085d91690408046bd35c44bc1075e97?pvs=4,,2021,4
12.04.2021,NY am,10:50:00,SP500,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/12-04-2021-10b5d916904080dfbe53dbee61a035f8?pvs=4,,2021,4
13.04.2021,London,03:14:00,NAS100,"1,9",TP,long,380,,before OTT,https://glaze-deer-019.notion.site/13-04-2021-1115d91690408030a6a7df0452cf7fec?pvs=4,,2021,4
22.04.2021,NY am,10:16:00,SP500,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/22-04-2021-10b5d9169040803bb689daf9f1d305a1?pvs=4,,2021,4
27.04.2021,London,03:19:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/27-04-2021-1115d916904080349b64d959680734fa?pvs=4,,2021,4
28.04.2021,London,03:04:00,NAS100,"1,6",TP,short,320,,before OTT,https://glaze-deer-019.notion.site/28-04-2021-1115d916904080cdaa1de6385ec7e293?pvs=4,,2021,4
03.05.2021,NY am,10:09:00,SP500,"1,6",TP,long,320,,before OTT,https://glaze-deer-019.notion.site/03-05-2021-485e4784f9434c07a9bc27d76bb70aea?pvs=4,yes,2021,5
11.05.2021,NY am,10:49:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/11-05-2021-1085d916904080448905d1d6c99b9552?pvs=4,,2021,5
14.05.2021,NY am,10:31:00,SP500,"1,6",TP,long,320,,during OTT,https://glaze-deer-019.notion.site/14-05-2021-10b5d9169040805bb2eac24727f0736c?pvs=4,,2021,5
17.05.2021,London,03:00:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/17-05-2021-1115d916904080cdbfc0ee051f3a309f?pvs=4,yes,2021,5
01.06.2021,London,03:03:00,NAS100,,BE,short,,,before OTT,https://glaze-deer-019.notion.site/01-06-2021-1115d9169040800aba3ff8453fce0e90?pvs=4,,2021,6
04.06.2021,NY am,10:24:00,NAS100,,BE,short,,,during OTT,https://glaze-deer-019.notion.site/04-06-2021-1085d916904080fdb736e8e787ab2cbf?pvs=4,,2021,6
09.06.2021,NY am,10:19:00,SP500,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/09-06-2021-10b5d916904080f7afc7e1f67656dec8?pvs=4,,2021,6
14.06.2021,NY am,10:42:00,SP500,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/14-06-2021-10b5d916904080fb9b5ed3f8ae307e28?pvs=4,,2021,6
17.06.2021,NY am,10:17:00,SP500,,SL,short,,200,before OTT,https://glaze-deer-019.notion.site/17-06-2021-10b5d91690408093ba97d1fc3d978a6c?pvs=4,,2021,6
21.06.2021,NY am,10:15:00,NAS100,,SL,short,,200,before OTT,https://glaze-deer-019.notion.site/21-06-2021-1085d91690408050ab23ef7b045942cb?pvs=4,,2021,6
23.06.2021,London,03:04:00,NAS100,,SL,long,,200,before OTT,https://glaze-deer-019.notion.site/23-06-2021-1115d916904080d7994eeb14e46533c8?pvs=4,,2021,6
01.07.2021,NY am,10:18:00,SP500,,BE,short,,,during OTT,https://glaze-deer-019.notion.site/01-07-2021-8b92dbe656744951b148a7f56b1246ac?pvs=4,,2021,7
05.07.2021,NY am,10:10:00,NAS100,,BE,long,,,before OTT,https://glaze-deer-019.notion.site/05-07-2021-1085d91690408043b854d133096a5a0b?pvs=4,yes,2021,7
05.07.2021,London,03:44:00,NAS100,,BE,long,,,during OTT,https://glaze-deer-019.notion.site/05-07-2021-1125d916904080b6bc86d35aa769a83f?pvs=4,,2021,7
20.07.2021,NY am,10:17:00,NAS100,"2,4",TP,long,484,,before OTT,https://glaze-deer-019.notion.site/20-07-2021-1085d916904080c1bc89d4f11973d533?pvs=4,,2021,7
